ETFs/ETCs,Ticker,Exchange,Trading Currency,Base Currency,ISIN,WKN,Valoren,SEDOL,SFDR Classification,"AUM (Base) (as of 
2022-08-12)","NAV (as of 
2022-08-12)",TER,Product Type,UCITS,Registrations,,,,,,,,,,,,,,,,,,,,,,,
HAN-GINS Tech Megatrend Equal Weight UCITS ETF - Accumulating,ITEKN MF,BMV,USD,USD,IE00BDDRF700,A2JR0J,43915667,BMZQDL8,Article 8,"88,359,852",11.2704,0.59%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
HAN-GINS Tech Megatrend Equal Weight UCITS ETF - Accumulating,ITEK SE,SIX,CHF,USD,IE00BDDRF700,A2JR0J,43915667,BMYC3T5,Article 8,"88,359,852",11.2704,0.59%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
HAN-GINS Tech Megatrend Equal Weight UCITS ETF - Accumulating,T3KE GY,Xetra,EUR,USD,IE00BDDRF700,A2JR0J,43915667,BFX38M8,Article 8,"88,359,852",11.2704,0.59%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETH NA,Amsterdam,USD,USD,DE000A3GMKD7,A3GMKD,110488627,BN0Z9Z3,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETI GR,Xetra,USD,USD,DE000A3GMKD7,A3GMKD,110488627,BMFCDT4,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETH SE,SIX,USD,USD,DE000A3GMKD7,A3GMKD,110488627,BN0WR83,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETH AV,Wiener Borse,EUR,USD,DE000A3GMKD7,A3GMKD,110488627,BN4RH84,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETHCHF SE,SIX,CHF,USD,DE000A3GMKD7,A3GMKD,110488627,BN0WR94,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETH FP,Paris,EUR,USD,DE000A3GMKD7,A3GMKD,110488627,BN0Z9Y2,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETHGBP SE,SIX,EUR,USD,DE000A3GMKD7,A3GMKD,110488627,BN0WRB6,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
ETHetc – ETC Group Physical Ethereum,ZETH GY,Xetra,EUR,USD,DE000A3GMKD7,A3GMKD,110488627,BMV2RQ3,,"67,953,587",18.8207,1.49%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMA IM,Borsa Italiana,EUR,USD,IE00BNC1F287,A2QG4B,58802920,BN93X78,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMA LN,LSE,USD,USD,IE00BNC1F287,A2QG4B,58802920,BLF0M50,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMA SE,SIX,CHF,USD,IE00BNC1F287,A2QG4B,58802920,BMC7PD0,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMP LN,LSE,GBp,USD,IE00BNC1F287,A2QG4B,58802920,BLF0M83,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,ECLM GY,Xetra,EUR,USD,IE00BNC1F287,A2QG4B,58802920,BN93X89,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
